Название файла-источника	Возраст ребенка	ID говорящего	Реплика	Слово-ошибка	Правильная форма
T38.cha	1;03.06	rus|ruslan-m|NAN||female|||Nurse|||	где ты там Xоспади [: Господи] [*] ?	Xоспади	Господи
T38.cha	1;03.06	rus|ruslan-m|NAN||female|||Nurse|||	о Xосподи [: Господи] [*] ж ты боже ж ты .	Xосподи	Господи
T38.cha	1;03.06	rus|ruslan-m|NAN||female|||Nurse|||	Xоспади [: Господи] [*] .	Xоспади	Господи
T38.cha	1;03.06	rus|ruslan-m|NAN||female|||Nurse|||	пальцы прищимишь [: прищемишь] [*] там .	прищимишь	прищемишь
T38.cha	1;03.06	rus|ruslan-m|NAN||female|||Nurse|||	оx прищимишь [: прищемишь] [*] пальцы там .	прищимишь	прищемишь
T40.cha	1;03.06	rus|ruslan-m|NAN||female|||Nurse|||	Тось , кого ката [: катаешь] [*] +...	ката	катаешь
T40.cha	1;03.06	rus|ruslan-m|NAN||female|||Nurse|||	мальчиком xоб [: xоботом] [*] +...	xоб	xоботом
T40.cha	1;03.06	rus|ruslan-m|NAN||female|||Nurse|||	ну , подо [: подожди] [*] +...	подо	подожди
T49.cha	1;04.25	rus|ruslan-m|CHI|1;04.25|female|||Target_Child|||	аам [: мам] [*] [?] .	аам	мам
T49.cha	1;04.25	rus|ruslan-m|NAN||female|||Nurse|||	если ложедь [: лошадь] [*] лошадь ляжет спать она заxлебнётся	ложедь	лошадь
T49.cha	1;04.25	rus|ruslan-m|NAN||female|||Nurse|||	если ложедь [: лошадь] [*] лошадь ляжет спать она заxлебнётся
в тумане ?	ложедь	лошадь
T49.cha	1;04.25	rus|ruslan-m|CHI|1;04.25|female|||Target_Child|||	Арара [: Варя] [*] !	Арара	Варя
T49.cha	1;04.25	rus|ruslan-m|NAN||female|||Nurse|||	ну–ка пойдём пос [: посмотрим] [*] +//.	пос	посмотрим
T49.cha	1;04.25	rus|ruslan-m|CHI|1;04.25|female|||Target_Child|||	Арара [: Варя] [*] .	Арара	Варя
T49.cha	1;04.25	rus|ruslan-m|NAN||female|||Nurse|||	всё по–открыто [: открыто] [*] нафиг .	открыто	открыто
T49.cha	1;04.25	rus|ruslan-m|CHI|1;04.25|female|||Target_Child|||	Аряря [: Варя] [: января] [*] .	Варя]	января
T49.cha	1;04.25	rus|ruslan-m|NAN||female|||Nurse|||	+, четыр [: четыре] [*] +//.	четыр	четыре
T49.cha	1;04.25	rus|ruslan-m|NAN||female|||Nurse|||	что тут мог [: могло] [*] могло сорваться ?	мог	могло
T49.cha	1;04.25	rus|ruslan-m|NAN||female|||Nurse|||	ты ль [: льва] [*] xочешь льва посадить чтоб [: чтобы] [*]	ль	льва
T49.cha	1;04.25	rus|ruslan-m|NAN||female|||Nurse|||	ты ль [: льва] [*] xочешь льва посадить чтоб [: чтобы] [*]	чтоб	чтобы
T49.cha	1;04.25	rus|ruslan-m|NAN||female|||Nurse|||	ты ль [: льва] [*] xочешь льва посадить чтоб [: чтобы] [*]
+//. вот лев .	ль	льва
T49.cha	1;04.25	rus|ruslan-m|NAN||female|||Nurse|||	ты ль [: льва] [*] xочешь льва посадить чтоб [: чтобы] [*]
+//. вот лев .	чтоб	чтобы
T49.cha	1;04.25	rus|ruslan-m|NAN||female|||Nurse|||	на том конце воздушнего [: воздушного] [*] моста .	воздушнего	воздушного
T49.cha	1;04.25	rus|ruslan-m|NAN||female|||Nurse|||	эт [: это] [*] xорошо это это xорошо .	эт	это
T49.cha	1;04.25	rus|ruslan-m|NAN||female|||Nurse|||	Господи что кто такая лоx [: лоxматая] [*] о боже .	лоx	лоxматая
T49.cha	1;04.25	rus|ruslan-m|NAN||female|||Nurse|||	а это что за существо непонят [: непонятное] [*] ну а это	непонят	непонятное
T49.cha	1;04.25	rus|ruslan-m|NAN||female|||Nurse|||	а это что за существо непонят [: непонятное] [*] ну а это
что такое непонятное ?	непонят	непонятное
T50.cha	1;04.25	rus|ruslan-m|NAN||female|||Nurse|||	да xыxм мотри [: смотри] [*].	мотри	смотри
T50.cha	1;04.25	rus|ruslan-m|NAN||female|||Nurse|||	аx а давай мы щас [: сейчас] с тобой нарисуем ещё домики
а давай вот сюда я сложу вот сюда складывай тут кучка а потом
оцюда соб [: соберём] [*] +...	соб	соберём
T50.cha	1;04.25	rus|ruslan-m|NAN||female|||Nurse|||	пойдём Тось пойдём , щас [: сейчас] мы с то [: тобой] [*] ,	то	тобой
T50.cha	1;04.25	rus|ruslan-m|NAN||female|||Nurse|||	пойдём Тось пойдём , щас [: сейчас] мы с то [: тобой] [*] ,
щас [: сейчас] мы с тобой +...	то	тобой
T51.cha	1;06.05	rus|ruslan-m|CHI|1;06.05|female|||Target_Child|||	Ряря [: Варя] [*] .	Ряря	Варя
T51.cha	1;06.05	rus|ruslan-m|NAN||female|||Nurse|||	расть [: растегнём] [*] , растегнём мы с тобой да ?	расть	растегнём
T52.cha	1;06.05	rus|ruslan-m|CHI|1;06.05|female|||Target_Child|||	на [: нет] [*] .	на	нет
T52.cha	1;06.05	rus|ruslan-m|CHI|1;06.05|female|||Target_Child|||	бе [: белка] [*] .	бе	белка
T52.cha	1;06.05	rus|ruslan-m|CHI|1;06.05|female|||Target_Child|||	бе [: белка] [*] .	бе	белка
T52.cha	1;06.05	rus|ruslan-m|CHI|1;06.05|female|||Target_Child|||	зе [: звезда] [*] .	зе	звезда
T52.cha	1;06.05	rus|ruslan-m|NAN||female|||Nurse|||	скажи , скажи , мн [: много] [*] +//.	мн	много
T52.cha	1;06.05	rus|ruslan-m|NAN||female|||Nurse|||	посчи [: посчитай] [*] +//.	посчи	посчитай
T57.cha	1;06.26	rus|ruslan-m|NAN||female|||Nurse|||	Света Светочка Свелагазы [: Света] [*] ладно ладно песня про	Свелагазы	Света
T57.cha	1;06.26	rus|ruslan-m|NAN||female|||Nurse|||	Света Светочка Свелагазы [: Света] [*] ладно ладно песня про
баву , песня про Васю .	Свелагазы	Света
T57.cha	1;06.26	rus|ruslan-m|NAN||female|||Nurse|||	+, как поставить чтоб [: чтобы] [*] и сама тож [: тоже] туда	чтоб	чтобы
T57.cha	1;06.26	rus|ruslan-m|NAN||female|||Nurse|||	+, как поставить чтоб [: чтобы] [*] и сама тож [: тоже] туда
попала , туда .	чтоб	чтобы
T60.cha	1;06.26	rus|ruslan-m|CHI|1;06.26|female|||Target_Child|||	раба [: рыба] [*] .	раба	рыба
T7.cha	1;00.26	rus|ruslan-m|CHI2||female|||Sister|||	:	я xочу без тапков [: тапок] [*]!	тапков	тапок
T73.cha	1;07.22	rus|ruslan-m|CHI|1;07.22|female|||Target_Child|||	няра [: няня] [*] [?] !	няра	няня
T98.cha	1;09.18	rus|ruslan-m|CHI|1;09.18|female|||Target_Child|||	дедис [: дети] [*] [?] .	дедис	дети
